drive_team,drive_description,play_id,quarter,clock,play_type,text,home_score,away_score,start_home_wp,start_away_wp,end_home_wp,end_away_wp,home_delta,away_delta
ATL,"7 plays, 27 yards, 3:26",40177290039,1,15:00,Kickoff,J.Myers kicks 64 yards from SEA 35 to ATL 1. D.Thompkins to ATL 23 for 22 yards (D.Bell).,0,0,38.73,61.27,40.26,59.74,1.53,-1.53
ATL,"7 plays, 27 yards, 3:26",40177290062,1,14:55,Rush,B.Robinson left guard to ATL 28 for 5 yards (E.Jones).,0,0,40.26,59.74,40.27,59.73,0.01,-0.01
ATL,"7 plays, 27 yards, 3:26",40177290084,1,14:22,Rush,B.Robinson left guard to ATL 31 for 3 yards (L.Williams; B.Murphy).,0,0,40.27,59.73,40.49,59.51,0.22,-0.22
ATL,"7 plays, 27 yards, 3:26",401772900106,1,13:44,Pass Reception,(Shotgun) K.Cousins pass short left to B.Robinson to ATL 36 for 5 yards (E.Jones).,0,0,40.49,59.51,41.93,58.07,1.44,-1.44
ATL,"7 plays, 27 yards, 3:26",401772900131,1,13:07,Rush,(Shotgun) B.Robinson up the middle to ATL 47 for 11 yards (D.Lawrence).,0,0,41.93,58.07,43.48,56.52,1.55,-1.55
ATL,"7 plays, 27 yards, 3:26",401772900153,1,12:31,Rush,B.Robinson left tackle to 50 for 3 yards (D.Witherspoon).,0,0,43.48,56.52,42.73,57.27,-0.75,0.75
ATL,"7 plays, 27 yards, 3:26",401772900175,1,11:51,Pass Incompletion,K.Cousins pass incomplete short middle.,0,0,42.73,57.27,41.27,58.73,-1.46,1.46
ATL,"7 plays, 27 yards, 3:26",401772900198,1,11:48,Pass Incompletion,(Shotgun) K.Cousins pass incomplete deep right to K.Pitts (J.Love) [D.Witherspoon].,0,0,41.27,58.73,38.07,61.93,-3.2,3.2
ATL,"7 plays, 27 yards, 3:26",401772900221,1,11:40,Punt,"B.Pinion punts 39 yards to SEA 11, Center-L.McCullough, fair catch by R.Shaheed.",0,0,38.07,61.93,38.93,61.07,0.86,-0.86
ATL,"7 plays, 27 yards, 3:26",401772900231,1,11:34,Official Timeout,Official Timeout at 11:34.,0,0,38.93,61.07,38.94,61.06,0.01,-0.01
